Company,Records_Found,SOS_ID,Date_Formed,Status,Business_Type
Impulse Wellness LLC,1,2281610,10/5/2021,Current - Active,Limited Liability Company
Impulsonic Inc,No results found,,,,
Incara Pharmaceuticals Corporation,2,0368325,4/24/1995,Withdrawn,Business Corporation
Inclusive Intakes Inc.,No results found,,,,
IndyCare LLC,3,1602261,6/14/2017,Current - Active,Limited Liability Company
Infodyn LLC,3,1409032,10/27/2014,Admin. Dissolved,Limited Liability Company
In-Form Athletics LLC,1,1498277,2/16/2016,Admin. Dissolved,Limited Liability Company
In Gear Career Inc,No results found,,,,
Inhalon Biopharma Inc,1,1752032,9/19/2018,Current - Active,Business Corporation
InHerSight,1,1555133,11/15/2016,Suspended,Business Corporation
Initos Pharmaceuticals LLC,1,1482602,11/23/2015,Dissolved,Limited Liability Company
Innatrix Inc,1,1296578,1/15/2013,Current - Active,Business Corporation
InnerOptic Technology Inc,1,0629021,4/25/2002,Current - Active,Business Corporation
Innocrin Pharmaceuticals Holdings LLC,1,1389582,7/11/2014,Revoked,Limited Liability Company
Innocrin Pharmaceuticals LLC,2,0798510,8/18/2005,Revoked,Business Corporation
Innovation Research & Training Inc,1,0490402,4/5/1999,Current - Active,Business Corporation
"Innovative Reproductive Solutions, Inc.",No results found,,,,
Inspire Pharmaceuticals,1,0363935,3/8/1995,Withdrawn,Business Corporation
Institute for Defense and Business,1,0440773,10/23/1997,Current - Active,Non - Profit Corporation
Institute for Effective Change,1,1882260,8/20/2019,Current - Active,Non - Profit Corporation
Integrated Lab Systems,No results found,,,,
Intelligent Lighting Solutions LLC,1,1319752,5/24/2013,Admin. Dissolved,Limited Liability Company
International Friends Foundation Inc,No results found,,,,
IntraHealth International,1,0668885,3/25/2003,Current - Active,Non - Profit Corporation
InvestSTR Real Estate LLC,1,2233471,7/15/2021,Current - Active,Limited Liability Company
Investstr Saint George LLC,1,2173697,4/20/2021,Current - Active,Limited Liability Company
Invitrox Inc,3,,,Reserved Name,Business Corporation
IO21,No results found,,,,
IotaComm,1,1626838,9/26/2017,Revoked,Limited Liability Company
Ipas,2,0075008,10/5/1973,Current - Active,Non - Profit Corporation
IQVIA Holdings Inc,1,1886476,8/29/2019,Current - Active,Business Corporation
Irex Pharma LLC,1,1691107,4/13/2018,Current - Active,Limited Liability Company
Iris Biomed LLC,No results found,,,,
"IRI-Sys (International Regulatory Information Systems, Inc.)",No results found,,,,
Ironwood Material Science,1,1114340,9/4/2009,Withdrawn,Business Corporation
J & J Landscaping L.L.C.,7,1158587,7/14/2010,Multiple,Business Corporation
Jabin Beverage Co.,No results found,,,,
Jaya Biosciences Inc.,No results found,,,,
Jay Bridge,No results found,,,,
Jewel Polymer Consulting LLC,1,1453792,6/22/2015,Current - Active,Limited Liability Company
Jobalo Jobs Inc,2,1558832,12/7/2016,Converted,Limited Liability Company
Joe Startup Technologies LLC,1,1486990,12/17/2015,Revoked,Limited Liability Company
Joyntly,1,2487503,9/14/2022,Current - Active,Business Corporation
Jump Ahead,1,1948296,2/11/2020,Current - Active,Non - Profit Corporation
Jurata Thin Film,1,1828007,4/5/2019,Current - Active,Business Corporation
Jury-X LLC,1,1505115,3/16/2016,Current - Active,Limited Liability Company
Kalia Health Inc,No results found,,,,
Kamo Digital,1,1861641,6/28/2019,Current - Active,Limited Liability Company
Karyogen Inc,1,0670246,4/2/2003,Multiple,Business Corporation
Katharos Inc,3,1110190,8/7/2009,Current - Active,Business Corporation
Katie Harp Creative,No results found,,,,
Keepsake Tales Inc,1,1897502,9/26/2019,Revoked,Business Corporation
Keona Health Inc,2,1153984,6/11/2010,Converted,Business Corporation
Keratin Biosciences,1,1713947,6/11/2018,Current - Active,Business Corporation
Kids Code,1,1943094,1/29/2020,Admin. Dissolved,Limited Liability Company
KindHeart Inc,9,1138450,2/26/2010,Converted,Business Corporation
Kinethics Inc,1,1475211,10/13/2015,Dissolved,Business Corporation
Kinetik Simulation,1,2368931,3/4/2022,Current - Active,Business Corporation
KinoDyn Inc,1,1304497,2/28/2013,Withdrawn,Business Corporation
Kliink,1,1267274,7/3/2012,Current - Active,Non - Profit Corporation
KL Medical LLC,1,1135752,2/10/2010,Current - Active,Limited Liability Company
KnotworkApp Inc,No results found,,,,
KNOW Bio LLC,1,1486932,12/16/2015,Current - Active,Limited Liability Company
Knowledge Well Inc,1,0818337,12/19/2005,Current - Active,Non - Profit Corporation
Krsor,1,2465969,8/8/2022,Current - Active,Limited Liability Company
KryoSphere Inc,2,1002838,9/21/2007,Dissolved,Business Corporation
Kucera Pharmaceutical Company,1,0594387,6/14/2001,Multiple,Business Corporation
KXTbio Inc,1,1269098,7/16/2012,Multiple,Business Corporation
LabMojo,No results found,,,,
Last Mile Health,No results found,,,,
"Laughing Monitos, LLC",1,2585458,3/1/2023,Current - Active,Limited Liability Company
Lead for America,No results found,,,,
Leading Schools Forward LLC,1,1607538,7/5/2017,Admin. Dissolved,Limited Liability Company
Learning2Thrive Program,1,2297520,11/1/2021,Current - Active,Non - Profit Corporation
Learn to Win,No results found,,,,
Leaselytics Inc,1,1313103,4/17/2013,Multiple,Business Corporation
LED Radiofluidics Corp,1,2442820,6/27/2022,Current - Active,Business Corporation
Lensational,1,2345267,1/27/2022,Active - Not Current,Limited Liability Company
Leoh.io,No results found,,,,
Let's Chip In Inc,1,1365276,3/4/2014,Multiple,Business Corporation
LeukoMed Inc,1,0873859,10/24/2006,Withdrawn,Business Corporation
Level Logic Inc,1,1294883,1/7/2013,Dissolved,Business Corporation
Level the Playing Field,3,2022951,8/6/2020,Current - Active,Non - Profit Corporation
Levitate,8,1857653,6/19/2019,Current - Active,Business Corporation
Lewin Schools,No results found,,,,
Lewis Transport Company,6,0595895,6/28/2001,Dissolved,Business Corporation
Lexal,2,2881414,7/18/2024,Current - Active,Business Corporation
Lexus9 Technologies Inc,1,2034734,8/25/2020,Revoked,Business Corporation
Life Edit,2,1843732,5/15/2019,Current - Active,Business Corporation
Life-improving Ventures,1,1170528,10/11/2010,Current - Active,Non - Profit Corporation
"Liine, Inc",2,1551356,10/24/2016,Converted,Limited Liability Company
LikeForce Inc,1,1424978,1/29/2015,Multiple,Business Corporation
Lindy BioSciences Inc,2,1580306,3/10/2017,Withdrawn,Limited Liability Company
LineHire,1,1460226,7/27/2015,Revoked,Business Corporation
Lineleader Technologies Inc,1,1496203,2/4/2016,Dissolved,Business Corporation
"Linker Logic Technologies, Inc.",1,1445838,5/15/2015,Multiple,Business Corporation
Lion Therapeutics Inc,1,1688372,4/9/2018,Merged,Business Corporation
Liquidia Corp,3,2004042,6/30/2020,Current - Active,Business Corporation
LiRA Inc,22,0156033,4/10/1985,Dissolved,Business Corporation
List Overflow,No results found,,,,
Localfit Inc,3,1524801,6/15/2016,Dissolved,Business Corporation
LocalRoots Compost Inc.,1,2350529,2/7/2022,Active - Not Current,Business Corporation
LoneRider Brewing Co,1,0839129,4/6/2006,Current - Active,Business Corporation
Lonerider Spirits LLC,3,1698161,5/2/2018,Current - Active,Limited Liability Company
Looks Attached,1,2058700,9/30/2020,Admin. Dissolved,Limited Liability Company
Looma Project Inc,2,1385814,12/16/2014,Converted,Business Corporation
Loop VOC Inc,No results found,,,,
LoPo Diveskins,No results found,,,,
LotusBioEFx LLC,1,1174130,11/3/2010,Dissolved,Limited Liability Company
Lq3 Pharmaceuticals Inc,1,1439050,4/10/2015,Withdrawn,Business Corporation
Lucerno Dynamics LLC,1,1228529,11/2/2011,Current - Active,Limited Liability Company
Lung Banks of America,1,1040732,4/29/2008,Current - Active,Non - Profit Corporation
Made with Love Bakery,1,1372755,3/12/2014,Dissolved,Non - Profit Corporation
MadGriffin Studio,No results found,,,,
Magnus Health Technology Inc,1,0786606,6/9/2005,Current - Active,Business Corporation
Mamafrica Designs LLC,No results found,,,,
ManyPets,1,2263954,9/7/2021,Current - Active,Business Corporation
MapJoy LLC,1,1390647,7/17/2014,Dissolved,Limited Liability Company
MathTensor Inc,1,0282969,2/12/1991,Multiple,Business Corporation
MATI Energy,No results found,,,,
Meantime Coffee Company,1,1538262,8/19/2016,Current - Active,Non - Profit Corporation
Mechenai LLC,1,1443425,5/1/2015,Dissolved,Limited Liability Company
Med-Aditus International Inc,1,1926244,12/12/2019,Current - Active,Non - Profit Corporation
Medcryption Inc,2,0788295,6/21/2005,Dissolved,Limited Liability Company
Medical Innovators Collaborative Inc,1,1542310,9/9/2016,Current - Active,Non - Profit Corporation
Medical Product Analytics LLC,1,0926230,7/5/2007,Merged,Limited Liability Company
MedPLUS Connect,No results found,,,,
MedScribes Incorporated,1,1485871,12/11/2015,Current - Active,Business Corporation
MedServe,6,0421393,3/14/1997,Multiple,Professional Corporation
MedSmart Inc,9,1016345,12/11/2007,Current - Active,Non - Profit Corporation
Medtrackr,1,2135984,2/19/2021,Admin. Dissolved,Limited Liability Company
MedUcate LLC,2,1522849,6/8/2016,Dissolved,Limited Liability Company
MegaWatt Solar Inc,2,0822694,1/13/2006,Converted,Limited Liability Company
Melody,72,0222520,2/2/1988,Dissolved,Business Corporation
memoryCrafters,1,1885028,8/26/2019,Dissolved,Limited Liability Company
Mentally Enlightened Clothing,1,2233290,7/15/2021,Admin. Dissolved,Limited Liability Company
MENTOR North Carolina,1,2108846,1/11/2021,Current - Active,Non - Profit Corporation
Meripex Apparel,1,1440656,4/20/2015,Current - Active,Limited Liability Company
Meryx Inc,1,1318550,5/17/2013,Current - Active,Business Corporation
mesur.io,1,1491460,1/14/2016,Converted,Business Corporation
Metabolic Dynamics,No results found,,,,
Metaware LLC,1,2710701,12/18/2023,Current - Active,Limited Liability Company
Micell Integrated Systems Inc,1,0577819,1/18/2001,Revoked,Business Corporation
Micell Technologies Inc,2,0388912,2/16/1996,Merged,Business Corporation
MilVil Inc,1,1476826,10/22/2015,Current - Active,Business Corporation
Mind Above Matter,2,1954501,2/25/2020,Dissolved,Non - Profit Corporation
Mint Market Inc,3,1250213,3/20/2012,Withdrawn,Business Corporation
MiracleFeet,1,1152920,6/4/2010,Current - Active,Non - Profit Corporation
Miss EmpowHer,No results found,,,,
Mission3,2,1455740,7/1/2015,Current - Active,Non - Profit Corporation
Mizar Imaging LLC,1,2205103,6/2/2021,Current - Active,Limited Liability Company
"Mizar Therapeutics, Inc.",No results found,,,,
Mobile Webie LLC,No results found,,,,
Mobiroq LLC,1,1391366,7/22/2014,Admin. Dissolved,Limited Liability Company
Moche Inc,3,2118374,1/26/2021,Current - Active,Limited Liability Company
Modern Ritual,2,2424291,5/31/2022,Current - Active,Professional Corporation
Moduluc,No results found,,,,
Molecular Orthopaedics Inc,1,0864063,8/29/2006,Multiple,Business Corporation
Monikos Inc,1,1525044,6/29/2017,Multiple,Business Corporation
Monuts LLC,1,1222214,9/21/2011,Current - Active,Limited Liability Company
MORE Living,1,1414886,12/3/2014,Admin. Dissolved,Limited Liability Company
Morph Inc,52,1452640,6/17/2015,Multiple,Business Corporation
Morphormics Inc,1,0618609,1/31/2002,Admin. Dissolved,Business Corporation
Mortgage Safe LLC,1,0868656,9/26/2006,Admin. Dissolved,Limited Liability Company
Mosayk,2,0600672,8/13/2001,Dissolved,Business Corporation
Mother Honestly,No results found,,,,
Move Loot Inc,1,1403991,8/27/2014,Withdrawn,Business Corporation
Moving Windmills Innovation Center,No results found,,,,
MP Analytics Inc,1,1044485,5/19/2008,Dissolved,Business Corporation
Mucommune LLC,1,1434845,3/23/2015,Current - Active,Limited Liability Company
"MUSE Biomedical, LLC",1,1995735,6/15/2020,Dissolved,Limited Liability Company
Musical Empowerment Inc,6,1283624,10/18/2012,Current - Active,Non - Profit Corporation
MuukTest,No results found,,,,
MyChessTutor,1,2117551,1/25/2021,Current - Active,Limited Liability Company
Mycosearch Inc,3,0100516,11/21/1979,Merged,Business Corporation
Mycovia Pharmaceuticals,1,1235377,12/21/2011,Current - Active,Business Corporation
My Dinner Pal,1,2211358,6/10/2021,Admin. Dissolved,Limited Liability Company
MyHealthEd Inc,1,1537784,8/17/2016,Current - Active,Non - Profit Corporation
My Journey Foundation,1,1693525,4/20/2018,Current - Active,Non - Profit Corporation
MyOwn Communications,1,2017863,7/28/2020,Withdrawn,Business Corporation
NabGen Inc,1,1907412,10/21/2019,Current - Active,Business Corporation
NALA Membranes,2,1663434,2/8/2018,Current - Active,Business Corporation
Nami Therapeutics Corp,No results found,,,,
NanoBiologiX Inc,1,1328817,7/18/2013,Multiple,Business Corporation
NanoCor Therapeutics Inc,1,0877616,11/16/2006,Current - Active,Business Corporation
NanoManipulator Inc,1,0519319,2/14/2000,Multiple,Business Corporation
Nanosonic Bioreagents LLC,No results found,,,,
Narrate,3,1342064,10/9/2013,Multiple,Business Corporation
National College Advising Corps,1,1277176,9/7/2012,Current - Active,Non - Profit Corporation
Navitas Research LLC,1,0813182,11/17/2005,Dissolved,Limited Liability Company
Naza Beauty,No results found,,,,
NC Fisher Research,1,1059373,1/27/2011,Current - Active,Limited Liability Company
NDimo Inc,1,0716279,3/16/2004,Current - Active,Business Corporation
Nellino's LLC,1,1174294,11/4/2010,Admin. Dissolved,Limited Liability Company
NeoMana Labs,No results found,,,,
Neurogate Therapeutics Inc,1,1186388,1/27/2011,Dissolved,Business Corporation
NeuroGT Inc,1,1974445,4/17/2020,Current - Active,Business Corporation
NeuroNano Pharma,No results found,,,,
NeuroNostix LLC,No results found,,,,
NeuroVice LLC,1,1561303,12/19/2016,Current - Active,Limited Liability Company
New Galaxy Records LLC,No results found,,,,
Newman Carpenter,1,2004268,7/1/2020,Current - Active,Limited Liability Company
New Media Campaigns,1,0830915,2/27/2006,Admin. Dissolved,Business Corporation
New Mind Education LLC,1,1180327,12/17/2010,Current - Active,Limited Liability Company
New North Global LLC,1,1751516,9/18/2018,Admin. Dissolved,Limited Liability Company
"New Paradigm Biosciences (Zhuhai) Co., Ltd.",No results found,,,,
New Paradigm Biosciences USA Inc,No results found,,,,
New Paradigm Media LLC,No results found,,,,
New Paradigm Therapeutics Inc,1,1410091,11/3/2014,Multiple,Business Corporation
Next Century Spirits,2,1755474,9/28/2018,Current - Active,Limited Liability Company
NEXT Fractional,1,0717891,3/24/2004,Current - Active,Business Corporation
NextRay Inc,1,1003894,9/27/2007,Multiple,Business Corporation
Nexus Commerce,No results found,,,,
Night and Day Dental,No results found,,,,
Nightwise LLC,1,1308287,3/21/2013,Admin. Dissolved,Limited Liability Company
Non-Scents LLC,No results found,,,,
Northstate Equity,1,2011396,7/15/2020,Current - Active,Limited Liability Company
Not A Wear,1,1003829,9/27/2007,Admin. Dissolved,Limited Liability Company
Nourish International,1,0829499,2/20/2006,Current - Active,Non - Profit Corporation
Novametics Inc,1,1229530,11/9/2011,Multiple,Business Corporation
Novan Inc,85,0846275,5/23/2006,Revoked,Business Corporation
NoviSci Inc,2,1380203,5/20/2014,Converted,Limited Liability Company
Novocor Medical Systems,1,1306311,3/11/2013,Dissolved,Business Corporation
NovoLipid Inc,1,1136631,2/16/2010,Dissolved,Business Corporation
Nugget Comfort LLC,1,1397641,8/26/2014,Current - Active,Limited Liability Company
NURV Fit Corporation,1,1929089,1/1/2020,Current - Active,Business Corporation
Nutrigene Sciences LLC,No results found,,,,
NxtNow,1,2238746,12/9/2021,Current - Active,Business Corporation
nXus Software LLC,No results found,,,,
"Oakwood Outfitters, LLC",1,1529492,7/8/2016,Admin. Dissolved,Limited Liability Company
OCEANS Lifestyles Inc,1,1920295,11/22/2019,Current - Active,Non - Profit Corporation
Oliver Charles,No results found,,,,
Oncotrap Inc,1,1614992,8/3/2017,Current - Active,Business Corporation
One Tent Health,No results found,,,,
OpenGait Prosthetics,1,1784760,1/1/2019,Dissolved,Business Corporation
Operative Flow Technologies LLC,1,1625621,9/20/2017,Current - Active,Limited Liability Company
Optoniks,1,1328944,7/19/2013,Current - Active,Business Corporation
Oral Health Metrics LLC,1,1718367,6/21/2018,Dissolved,Limited Liability Company
Organics and Sounds,1,1207187,6/7/2011,Current - Active,Non - Profit Corporation
Oriel Therapeutics,2,0584436,3/15/2001,Converted,Business Corporation
OurResearch,No results found,,,,
OutSMARTPD,1,2607935,4/4/2023,Current - Active,Limited Liability Company
Ozanam Strategic Insights,No results found,,,,
Panacise Bio Inc,2,1427940,2/13/2015,Revoked,Limited Liability Company
Panacos Pharmaceuticals Inc,No results found,,,,
Papirys Inc,1,1615462,8/7/2017,Multiple,Business Corporation
Parch Products,1,1766872,10/31/2018,Admin. Dissolved,Limited Liability Company
Parion Sciences Inc,1,0583458,3/7/2001,Current - Active,Business Corporation
Parking Rebel Inc,1,1560021,12/12/2016,Dissolved,Business Corporation
Partners for Literacy Inc,1,0887884,1/1/2007,Multiple,Business Corporation
Path BioAnalytics Inc,1,1471200,9/23/2015,Withdrawn,Business Corporation
Pathfinder Oncology,1,2849347,5/23/2024,Current - Active,Business Corporation
PeliPocket LLC,1,1402686,9/24/2014,Admin. Dissolved,Limited Liability Company
Perotech Inc,2,2080582,11/10/2020,Current - Active,Business Corporation
Persever8,1,1360177,2/5/2014,Current - Active,Non - Profit Corporation
Pharmaceutical Records Inc,1,0458724,5/7/1998,Current - Active,Business Corporation
PharmatrophiX Inc,1,1109658,8/4/2009,Current - Active,Business Corporation
PHE Inc,354,0109015,6/23/1982,Current - Active,Business Corporation
Phoenix Private Training,1,2563835,1/26/2023,Active - Not Current,Limited Liability Company
PhoenixSongs Biologicals Inc,1,1256643,4/27/2012,Multiple,Business Corporation
Phyta Inc,1,1624331,9/14/2017,Current - Active,Limited Liability Company
Piedmont Pennies,1,2046153,9/9/2020,Current - Active,Limited Liability Company
Pillar Consulting,2,1430831,2/13/2017,Current - Active,Business Corporation
Pink STREAM,1,2315575,12/6/2021,Current - Active,Non - Profit Corporation
Plantnrgy,1,1887189,8/30/2019,Active - Not Current,Limited Liability Company
Plasma Games Inc,1,1351533,12/31/2018,Current - Active,Business Corporation
Plex Diagnostics Inc,1,,,In Process,Correspondence
Point,658,0403923,8/15/1996,Current - Active,Business Corporation
Polyglot Systems Inc,2,0616027,1/14/2002,Withdrawn,Business Corporation
Polymer Braille,1,1102815,6/17/2009,Current - Active,Business Corporation
Polyon Pharmaceutical,No results found,,,,
Population Services International,1,0117303,1/22/1970,Current - Active,Non - Profit Corporation
Porter Scientific Inc,1,0484544,2/10/1999,Current - Active,Business Corporation
PowerZone Trading,1,1078755,1/9/2009,Current - Active,Limited Liability Company
Predictive LLC,22,1844383,5/16/2019,Active - Not Current,Limited Liability Company
Pregistry LLC,No results found,,,,
Premirr Plastics LLC,2,1612214,7/25/2017,Withdrawn by Merger,Limited Liability Company
Premitec Inc,2,0502639,8/9/1999,Withdrawn,Business Corporation
PrimeNeuro Inc,1,1675239,3/6/2018,Current - Active,Business Corporation
Printaholic,1,2104558,1/4/2021,Dissolved,Limited Liability Company
Prodigious L.L.C.,12,1579777,3/9/2017,Admin. Dissolved,Limited Liability Company
Producktiv LLC,2,1708062,5/25/2018,Admin. Dissolved,Limited Liability Company
Pro Financial Fitness,1,2037859,8/27/2020,Current - Active,Limited Liability Company
Profolio LLC,2,1377127,5/5/2014,Admin. Dissolved,Limited Liability Company
Progressive Computer Systems Inc,1,0213595,8/18/1987,Admin. Dissolved,Business Corporation
Pro Help Legal,No results found,,,,
Project Lazarus,1,1107986,7/23/2009,Dissolved,Non - Profit Corporation
Pro-Kay Supply Inc,1,0237761,11/8/1988,Current - Active,Business Corporation
ProtoDia Inc,1,1251259,3/26/2012,Multiple,Business Corporation
Pryon,1,1632440,10/20/2017,Current - Active,Business Corporation
PT Wired Inc,1,1530000,7/12/2016,Current - Active,Business Corporation
Pulvinar Neuro LLC,1,1546666,9/29/2016,Current - Active,Limited Liability Company
Pup'uccino Dog Rescue Cafe LLC,1,1393705,8/4/2014,Admin. Dissolved,Limited Liability Company
Pupusas for Education,1,1532004,7/20/2016,Current - Active,Non - Profit Corporation
Purcado Incorporated,3,1480969,11/13/2015,Dissolved,Business Corporation
Push Play Sing!,2,1464174,8/17/2015,Dissolved,Limited Liability Company
Qatch Technologies LLC,1,1531920,7/20/2016,Current - Active,Limited Liability Company
Q Squared Solutions LLC,5,0295853,12/31/2011,Current - Active,Limited Liability Company
Qualiber Inc,1,1277129,9/7/2012,Withdrawn,Business Corporation
Qualyst Transporter Solutions LLC,1,1252203,3/30/2012,Revoked,Limited Liability Company
Quantworks Inc,2,1468976,9/10/2015,Current - Active,Business Corporation
Quark Matrix Inc,1,1261292,5/24/2012,Current - Active,Business Corporation
Quintiles Transnational Holdings Inc,1,1124641,11/19/2009,Converted,Business Corporation
Qura Therapeutics LLC,1,1452493,6/16/2015,Active - Not Current,Limited Liability Company
QUVI,1,2014003,7/21/2020,Admin. Dissolved,Limited Liability Company
Radiate Works LLC,1,2392851,4/8/2022,Current - Active,Limited Liability Company
Railcare Health,1,1594775,5/12/2017,Current - Active,Non - Profit Corporation
RainBio Inc,1,1994693,6/12/2020,Current - Active,Business Corporation
Raise Technologies,No results found,,,,
Ram's Nook LLC,1,1639248,11/21/2017,Dissolved,Limited Liability Company
Rate Your Dorms LLC,1,1640467,11/29/2017,Admin. Dissolved,Limited Liability Company
Raw Health,1,1519562,6/1/2016,Dissolved,Limited Liability Company
REALTROMINS Inc,1,0917789,5/24/2007,Multiple,Business Corporation
RecruitRef,1,1669025,2/20/2018,Current - Active,Limited Liability Company
Re-Dazzle,1,1208790,6/17/2011,Multiple,Business Corporation
Redbud Labs Inc,1,1176542,11/19/2010,Current - Active,Business Corporation
Red Wolf Organics,No results found,,,,
Refugee Community Partnership,1,1070024,10/31/2008,Current - Active,Non - Profit Corporation
Regado Biosciences,2,0615533,1/9/2002,Multiple,Business Corporation
ReliaSolve LLC,1,1408887,10/27/2014,Current - Active,Limited Liability Company
RemedEase Inc,1,0796068,8/4/2005,Multiple,Business Corporation
Remedy Alliance For The People,No results found,,,,
Renovion Inc,1,1323593,6/18/2013,Current - Active,Business Corporation
Rent A Goat LLC,1,1316968,5/9/2013,Admin. Dissolved,Limited Liability Company
RentalTaxTool LLC,1,1369449,3/26/2014,Dissolved,Limited Liability Company
RepSpark,No results found,,,,
Request It Inc,1,1467973,9/4/2015,Admin. Dissolved,Business Corporation
Residential Services Inc,8,0122969,12/2/1974,Current - Active,Non - Profit Corporation
Resistor Brews LLC,1,1607758,7/6/2017,Admin. Dissolved,Limited Liability Company
Resound Media LLC,1,1289474,11/29/2012,Admin. Dissolved,Limited Liability Company
Resultid,1,2326971,12/29/2021,Revoked,Business Corporation
RethinkH2O LLC,2,1274191,8/17/2012,Admin. Dissolved,Limited Liability Company
Reveal Genomics,1,2821090,4/4/2024,Current - Active,Business Corporation
Reveal Mobile,1,1261592,5/25/2012,Revoked,Business Corporation
Reveris Therapeutics,1,1451397,6/11/2015,Revoked,Limited Liability Company
REVIAN Inc,1,1567252,1/19/2017,Current - Active,Business Corporation
Revibe Technologies,1,1526253,6/23/2016,Current - Active,Business Corporation
Revival Sports LLC,No results found,,,,
RevoWire LLC,1,1729959,7/23/2018,Dissolved,Limited Liability Company
Rhexis Surgical Instruments Inc,No results found,,,,
Rho Inc,511,0119896,10/24/1984,Current - Active,Business Corporation
Ribometrix Inc,2,1405279,10/7/2014,Withdrawn by Merger,Limited Liability Company
"Rivis, Inc.",5,0683987,7/22/2003,Current - Active,Business Corporation
Rogue Chem,1,2139733,2/25/2021,Current - Active,Limited Liability Company
RomrLand LLC,1,1576429,2/22/2017,Admin. Dissolved,Limited Liability Company
Roobrik,1,1355030,1/6/2014,Current - Active,Business Corporation
Roof LLC,417,0670232,4/2/2003,Multiple,Business Corporation
Roomadillo,1,2818337,4/1/2024,Current - Active,Business Corporation
Roote NC Inc,1,1332700,8/12/2013,Current - Active,Non - Profit Corporation
Round Table Research,1,2602588,3/27/2023,Current - Active,Business Corporation
RozieAI,1,1630268,10/11/2017,Revoked,Business Corporation
RTI International,2,0122638,12/29/1958,Current - Active,Non - Profit Corporation
Run On Productions LLC,No results found,,,,
RxAnalytics Inc,1,1231204,11/22/2011,Multiple,Business Corporation
Sandbar Oyster Company Inc,1,1396058,3/17/2017,Current - Active,Business Corporation
Sani LLC,163,1628703,10/4/2017,Converted,Limited Liability Company
SaniStation,No results found,,,,
Sanitation Creations LLC,1,1262880,6/5/2012,Withdrawn,Limited Liability Company
Sapere Bio Inc,1,1793461,1/17/2019,Current - Active,Business Corporation
Savana Company,6,0765736,3/1/2005,Multiple,Business Corporation
Scale Down Inc,No results found,,,,
Schoolpool,1,1873491,7/29/2019,Revoked,Limited Liability Company
Science Learning Resources Inc,1,0520395,2/15/2000,Current - Active,Business Corporation
Science Policy Action Network Inc,2,1448630,5/29/2015,Current - Active,Non - Profit Corporation
Scientists With Stories,No results found,,,,
SciMetrika LLC,3,0613290,12/14/2001,Converted,Limited Liability Company
SciREN (The Scientific Research and Education Network),No results found,,,,
Se7enth Swan Publishing Group,1,0784969,5/31/2005,Admin. Dissolved,Limited Liability Company
Seahorse Coastal Consulting,1,0845667,5/11/2006,Current - Active,Limited Liability Company
SEAL Innovation Inc,1,0795388,3/15/2010,Dissolved,Business Corporation
Seal the Seasons Inc,1,1385700,6/18/2014,Current - Active,Business Corporation
SearchBob,No results found,,,,
SeaTox Research Inc,1,1305527,3/6/2013,Current - Active,Business Corporation
Secondhand Concession Stand,1,2073890,10/28/2020,Current - Active,Limited Liability Company
Second Nature,27,0326430,6/17/1993,Dissolved,Business Corporation
SECURED,121,1566347,1/17/2017,Current - Active,Non - Profit Corporation
Seize The Day,3,1462160,8/6/2015,Multiple,Business Corporation
Seize the Vacay,1,1915946,11/12/2019,Dissolved,Limited Liability Company
Select ImmunoGenomics Inc,1,1510339,4/12/2016,Current - Active,Business Corporation
SelSym Biotech,1,1919774,11/21/2019,Admin. Dissolved,Business Corporation
Senaptec Inc,No results found,,,,
SenterME,1,2791608,2/16/2024,Current - Active,Limited Liability Company
SeqQuest,No results found,,,,
Shareview LLC,1,1414611,12/2/2014,Admin. Dissolved,Limited Liability Company
Shearless LLC,1,1863258,7/3/2019,Admin. Dissolved,Limited Liability Company
shelfCheck,1,1991146,6/4/2020,Admin. Dissolved,Limited Liability Company
Shibumi Shade Inc,2,1537906,1/1/2020,Converted,Business Corporation
Shifra,No results found,,,,
Shipal,No results found,,,,
Shopagon Inc,2,1518876,5/20/2016,Converted,Limited Liability Company
Shubert Consulting LLC,1,1173265,10/28/2010,Current - Active,Limited Liability Company
Shure Foods Inc,1,0853959,6/27/2006,Multiple,Business Corporation
Sidekick Inc,38,0741083,8/27/2004,Admin. Dissolved,Limited Liability Company
Sideline Inc,31,0188202,5/6/1986,Dissolved,Business Corporation
Silent Images,1,0910983,5/2/2007,Current - Active,Non - Profit Corporation
Silverquicken Education Inc.,1,2032240,8/20/2020,Current - Active,Business Corporation
Simple Mills Inc,2,1478278,10/29/2015,Current - Active,Limited Liability Company
Simply B Gluten Free,No results found,,,,
Simply Coils LLC,1,2094369,12/9/2020,Active - Not Current,Limited Liability Company
Singras Corporation,1,0642811,8/21/2002,Withdrawn,Business Corporation
SIRSvision LLC,1,1309243,3/26/2013,Admin. Dissolved,Limited Liability Company
Sister Girl Collection,No results found,,,,
Size Me Up Inc,2,0917895,5/25/2007,Dissolved,Business Corporation
Skalara,No results found,,,,
Slimmer Me LLC,1,1439368,4/13/2015,Admin. Dissolved,Limited Liability Company
Small Steps,8,0396562,5/17/1996,Multiple,Business Corporation
"Smart Material Solutions, LLC",1,1256029,4/28/2016,Converted,Business Corporation
Smiile,1,2323343,12/20/2021,Admin. Dissolved,Limited Liability Company
SneakPeek Technologies Inc.,No results found,,,,
SNP Therapeutics LLC,2,1743426,8/24/2018,Dissolved,Limited Liability Company
Socially Outward Inc,1,1318707,5/20/2013,Multiple,Business Corporation
